datetime,date,hour,day_of_week,day_name,is_weekend,in,out,total_traffic,net_traffic,is_open
2025-09-07 21:00:00,2025-09-07,21,6,Sunday,1,15,19,34,-4,1
2025-09-07 22:00:00,2025-09-07,22,6,Sunday,1,2,3,5,-1,1
2025-09-07 23:00:00,2025-09-07,23,6,Sunday,1,0,0,0,0,0
2025-09-13 00:00:00,2025-09-13,0,5,Saturday,1,0,0,0,0,0
2025-09-13 01:00:00,2025-09-13,1,5,Saturday,1,0,0,0,0,0
2025-09-13 02:00:00,2025-09-13,2,5,Saturday,1,0,0,0,0,0
2025-09-13 03:00:00,2025-09-13,3,5,Saturday,1,0,0,0,0,0
2025-09-13 04:00:00,2025-09-13,4,5,Saturday,1,0,0,0,0,0
2025-09-13 05:00:00,2025-09-13,5,5,Saturday,1,0,0,0,0,0
2025-09-13 06:00:00,2025-09-13,6,5,Saturday,1,0,0,0,0,0
2025-09-13 07:00:00,2025-09-13,7,5,Saturday,1,0,0,0,0,0
2025-09-13 08:00:00,2025-09-13,8,5,Saturday,1,0,0,0,0,0
2025-09-13 09:00:00,2025-09-13,9,5,Saturday,1,0,0,0,0,0
2025-09-13 10:00:00,2025-09-13,10,5,Saturday,1,0,0,0,0,1
2025-09-13 11:00:00,2025-09-13,11,5,Saturday,1,37,32,69,5,1
2025-09-13 12:00:00,2025-09-13,12,5,Saturday,1,61,50,111,11,1
2025-09-13 13:00:00,2025-09-13,13,5,Saturday,1,89,86,175,3,1
2025-09-13 14:00:00,2025-09-13,14,5,Saturday,1,91,71,162,20,1
2025-09-13 15:00:00,2025-09-13,15,5,Saturday,1,73,71,144,2,1
2025-09-13 16:00:00,2025-09-13,16,5,Saturday,1,96,121,217,-25,1
2025-09-13 17:00:00,2025-09-13,17,5,Saturday,1,101,95,196,6,1
2025-09-13 18:00:00,2025-09-13,18,5,Saturday,1,117,83,200,34,1
2025-09-13 19:00:00,2025-09-13,19,5,Saturday,1,93,83,176,10,1
2025-09-13 20:00:00,2025-09-13,20,5,Saturday,1,93,91,184,2,1
2025-09-13 21:00:00,2025-09-13,21,5,Saturday,1,68,96,164,-28,1
2025-09-13 22:00:00,2025-09-13,22,5,Saturday,1,0,2,2,-2,1
2025-09-13 23:00:00,2025-09-13,23,5,Saturday,1,0,0,0,0,0
2025-09-14 00:00:00,2025-09-14,0,6,Sunday,1,0,0,0,0,0
