datetime,predicted_traffic,lower_ci,upper_ci,hour,is_weekend
2025-10-01 00:00:00,-117.4871917731775,-319.15013936145556,84.17575581510056,0,0
2025-10-01 01:00:00,-154.5574419431373,-356.22038953147535,47.105505645200765,1,0
2025-10-01 02:00:00,-185.10710917480978,-386.7700567631819,16.555838413562356,2,0
2025-10-01 03:00:00,-207.20041723648043,-408.86336482487184,-5.537469648089001,3,0
2025-10-01 04:00:00,-219.47787729317184,-421.1408248815742,-17.81492970476947,4,0
2025-10-01 05:00:00,-221.2489347021037,-422.91188229051227,-19.585987113695097,5,0
2025-10-01 06:00:00,-212.53902907853526,-414.2019766669474,-10.876081490123141,6,0
2025-10-01 07:00:00,-194.08786055883945,-395.75080814725357,7.575087029574689,7,0
2025-10-01 08:00:00,-167.298980406515,-368.9619279949303,34.36396718190028,8,0
2025-10-01 09:00:00,-134.1441412738149,-335.80708886223084,67.51880631460102,9,0
2025-10-01 10:00:00,-97.02892789191364,-298.69187548032994,104.63401969650263,10,0
2025-10-01 11:00:00,-58.62881278297917,-260.29176037139564,143.03413480543733,11,0
2025-10-01 12:00:00,-21.706837615233997,-223.3697852036506,179.95610997318258,12,0
2025-10-01 13:00:00,11.074698444224575,-190.5882491441921,212.73764603264124,13,0
2025-10-01 14:00:00,37.33564265570104,-164.32730493271566,238.99859024411774,14,0
2025-10-01 15:00:00,55.14022666938285,-146.52272091903387,256.8031742577996,15,0
2025-10-01 16:00:00,63.12896120087855,-138.53398638753816,264.7919087892953,16,0
2025-10-01 17:00:00,60.611287903749066,-141.05165968466767,262.2742354921658,17,0
2025-10-01 18:00:00,47.61264175719923,-154.05030583121749,249.27558934561597,18,0
2025-10-01 19:00:00,24.87274259479632,-176.79020499362042,226.53569018321303,19,0
2025-10-01 20:00:00,-6.20486238024604,-207.86780996866275,195.4580852081707,20,0
2025-10-01 21:00:00,-43.64843437971837,-245.3113819681351,158.01451320869836,21,0
2025-10-01 22:00:00,-85.0523773122118,-286.7153249006285,116.61057027620492,22,0
2025-10-01 23:00:00,-127.74122828067911,-329.40417586909587,73.92171930773762,23,0
2025-10-02 00:00:00,-72.03501046905063,-273.6979580574674,129.62793711936618,0,0
2025-10-02 01:00:00,-109.10527757490944,-310.7682251633263,92.5576700135074,1,0
2025-10-02 02:00:00,-139.65495747513816,-341.31790506355503,62.00799011327868,2,0
2025-10-02 03:00:00,-161.74827510770893,-363.4112226961258,39.91467248070791,3,0
2025-10-02 04:00:00,-174.02574251533545,-375.68869010375226,27.63720507308139,4,0
2025-10-02 05:00:00,-175.79680570532418,-377.459753293741,25.866141883092666,5,0
2025-10-02 06:00:00,-167.0869047646549,-368.74985235307173,34.57604282376195,6,0
2025-10-02 07:00:00,-148.6357401613553,-350.29868774977217,53.02720742706154,7,0
2025-10-02 08:00:00,-121.84686338096675,-323.5098109693836,79.81608420745009,8,0
2025-10-02 09:00:00,-88.69202721299776,-290.3549748014146,112.97092037541908,9,0
2025-10-02 10:00:00,-51.57681401348835,-253.2397616019052,150.08613357492848,10,0
2025-10-02 11:00:00,-13.176699382605651,-214.8396469710225,188.4862482058112,11,0
2025-10-02 12:00:00,23.74527726545913,-177.91767032295772,225.40822485387596,12,0
2025-10-02 13:00:00,56.52680900030471,-145.13613858811215,258.18975658872154,13,0
2025-10-02 14:00:00,82.78775369189354,-118.8751938965233,284.4507012803104,14,0
2025-10-02 15:00:00,100.59233613449788,-101.07061145391896,302.2552837229147,15,0
2025-10-02 16:00:00,108.58106837904305,-93.0818792093738,310.24401596745986,16,0
2025-10-02 17:00:00,106.06339650038213,-95.59955108803472,307.72634408879895,17,0
2025-10-02 18:00:00,93.06476067004049,-108.59818691837636,294.7277082584573,18,0
2025-10-02 19:00:00,70.32486099688532,-131.33808659153152,271.98780858530216,19,0
2025-10-02 20:00:00,39.24724904050032,-162.41569854791652,240.91019662891716,20,0
2025-10-02 21:00:00,1.8036778432015836,-199.85926974521527,203.4666254316184,21,0
2025-10-02 22:00:00,-39.60027044611561,-241.26321803453246,162.06267714230123,22,0
2025-10-02 23:00:00,-82.28912005177308,-283.9520676401899,119.37382753664376,23,0
2025-10-03 00:00:00,-18.08983901358975,-219.75278660200658,183.5731085748271,0,0
2025-10-03 01:00:00,-55.16010581098419,-256.82305339940103,146.50284177743265,1,0
2025-10-03 02:00:00,-85.70978548047422,-287.3727330688911,115.95316210794262,2,0
2025-10-03 03:00:00,-107.80310293872478,-309.46605052714165,93.85984464969206,3,0
2025-10-03 04:00:00,-120.08057021246161,-321.74351780087846,81.58237737595523,4,0
2025-10-03 05:00:00,-121.8516332971493,-323.51458088556615,79.81131429126754,5,0
2025-10-03 06:00:00,-113.1417322711753,-314.80467985959217,88.52121531724154,6,0
2025-10-03 07:00:00,-94.6905675965267,-296.35351518494355,106.97237999189014,7,0
2025-10-03 08:00:00,-67.90169075470116,-269.564638343118,133.76125683371566,8,0
2025-10-03 09:00:00,-34.7468545327084,-236.40980212112524,166.91609305570844,9,0
2025-10-03 10:00:00,2.3683586700993398,-199.29458891831752,204.03130625851617,10,0
2025-10-03 11:00:00,40.76847330967836,-160.89447427873847,242.4314208980952,11,0
2025-10-03 12:00:00,77.69044993073473,-123.97249765768211,279.3533975191516,12,0
2025-10-03 13:00:00,110.47198174442553,-91.19096584399131,312.1349293328424,13,0
2025-10-03 14:00:00,136.73292642725096,-64.93002116116588,338.3958740156678,14,0
2025-10-03 15:00:00,154.53750889849638,-47.12543868992046,356.20045648691325,15,0
2025-10-03 16:00:00,162.5262411847378,-39.13670640367903,364.1891887731547,16,0
2025-10-03 17:00:00,160.00856928020812,-41.65437830820872,361.67151686862496,17,0
2025-10-03 18:00:00,147.00993326175322,-54.65301432666362,348.67288085017003,18,0
2025-10-03 19:00:00,124.27003359790919,-77.39291399050765,325.93298118632606,19,0
2025-10-03 20:00:00,93.19242176882355,-108.47052581959329,294.8553693572404,20,0
2025-10-03 21:00:00,55.7488505568964,-145.91409703152044,257.41179814531324,21,0
2025-10-03 22:00:00,14.344902365257054,-187.3180452231598,216.00784995367388,22,0
2025-10-03 23:00:00,-28.343947265251202,-230.00689485366803,173.31900032316565,23,0
2025-10-04 00:00:00,66.69297287897885,-134.969974709438,268.35592046739566,0,1
2025-10-04 01:00:00,29.62270607595933,-172.0402415124575,231.28565366437618,1,1
2025-10-04 02:00:00,-0.9269735977383787,-202.5899211861552,200.73597399067847,2,1
2025-10-04 03:00:00,-23.0202910591678,-224.68323864758463,178.64265652924905,3,1
2025-10-04 04:00:00,-35.297758335346195,-236.96070592376304,166.36518925307064,4,1
2025-10-04 05:00:00,-37.06882142195413,-238.73176901037095,164.59412616646273,5,1
2025-10-04 06:00:00,-28.358920397535705,-230.02186798595255,173.30402719088113,6,1
2025-10-04 07:00:00,-9.907755724188206,-211.57070331260505,191.75519186422864,7,1
2025-10-04 08:00:00,16.881121116517026,-184.78182647189982,218.54406870493386,8,1
2025-10-04 09:00:00,50.035957337524664,-151.62699025089216,251.69890492594152,9,1
2025-10-04 10:00:00,87.15117054027223,-114.51177704814461,288.8141181286891,10,1
2025-10-04 11:00:00,125.55128517969266,-76.11166240872419,327.21423276810947,11,1
2025-10-04 12:00:00,162.4732618012415,-39.189685787175335,364.13620938965835,12,1
2025-10-04 13:00:00,195.2547936134946,-6.408153974922243,396.91774120191144,13,1
2025-10-04 14:00:00,221.51573829647978,19.85279070806294,423.1786858848966,14,1
2025-10-04 15:00:00,239.32032076720293,37.65737317878609,440.98326835561977,15,1
2025-10-04 16:00:00,247.3090530526841,45.646105464267265,448.972000641101,16,1
2025-10-04 17:00:00,244.7913811486261,43.12843356020926,446.45432873704294,17,1
2025-10-04 18:00:00,231.7927451336013,30.12979754518446,433.45569272201817,18,1
2025-10-04 19:00:00,209.0528454695875,7.389897881170668,410.71579305800435,19,1
2025-10-04 20:00:00,177.97523363818058,-23.687713950236258,379.63818122659745,20,1
2025-10-04 21:00:00,140.5316624265202,-61.13128516189664,342.19461001493704,21,1
2025-10-04 22:00:00,99.12771423309977,-102.53523335531708,300.7906618215166,22,1
2025-10-04 23:00:00,56.438864603044635,-145.2240829853722,258.1018121914615,23,1
